Trait,CHR,pStart,pEnd,Gene,pval_skat
albumin,15,78295562,78369815,TBC1D2B,1.54271740059163e-09
albumin,17,40254065,40263458,DHX58,1.12955263924382e-12
albumin,17,43516738,43555253,PLEKHM1,7.99668793820142e-16
albumin,17,67081278,67125337,ABCA6,5.8491708093841e-107
albumin,17,67412362,67536671,MAP2K6,1.20725428978426e-42
albumin,19,35495531,35513237,GRAMD1A,2.72651335953e-08
albumin,19,35535289,35555683,HPN,1.17056188928717e-08
albumin,19,50034766,50045979,RCN3,2.58181650064974e-22
albumin,19,50109230,50123590,PRR12,1.5513474900599e-29
albumin,19,50243794,50261641,TSKS,1.15701040235668e-12
albumin,2,26924018,26948154,KCNK3,4.87199372764387e-09
albumin,2,27505758,27526463,TRIM54,1.90292996524036e-13
albumin,2,27611454,27623999,PPM1G,2.12221197244213e-09
albumin,2,28011829,28106866,RBKS,2.49807208297457e-10
albumin,2,28122890,28546682,BRE,3.61331393772805e-14
albumin,22,38039634,38046695,SH3BP1,3.86878422631298e-08
albumin,3,47895705,48040283,MAP4,7.488362460552379e-11
albumin,3,48205625,48229366,CDC25A,2.25839014821593e-11
albumin,3,49276196,49294250,CCDC36,1.28097688329298e-11
albumin,4,3443993,3451109,HGFAC,6.0429116719587015e-16
albumin,5,75700993,75997063,IQGAP2,2.78093117228492e-16
albumin,6,31868765,31912523,ZBTB12,6.1328095964309295e-12
albumin,6,31915144,31918903,CFB,5.6512359131211e-11
albumin,6,31928148,31937037,SKIV2L,4.01747712911478e-10
albumin,6,31937762,31939345,DOM3Z,1.07067710718412e-10
albumin,6,32163274,32191457,NOTCH4,2.80048724591678e-12
albumin,6,160952816,161083025,LPA,2.3743199897008497e-11
alka_phos,1,20916791,20945055,CDA,9.1889501816174e-12
alka_phos,1,20992819,21043790,KIF17,8.136578516892929e-28
alka_phos,1,21152384,21325360,EIF4G3,1.35062661992169e-52
alka_phos,1,21552149,21671184,ECE1,3.3766281123477295e-36
alka_phos,1,21775584,21800219,NBPF3,7.03998063636666e-71
alka_phos,1,21883742,21894307,ALPL,0.0
alka_phos,1,21924912,21976289,RAP1GAP,3.0784320560881907e-245
alka_phos,1,22012208,22108543,USP48,1.3244389623921e-47
alka_phos,1,22151809,22256814,HSPG2,2.48139408436878e-68
alka_phos,1,22304142,22313103,CELA3B,4.29981298344373e-08
alka_phos,1,22447523,22464564,WNT4,8.76144613997321e-10
alka_phos,10,64927823,65220711,JMJD1C,1.71318727985599e-58
alka_phos,10,65315397,65378695,REEP3,1.20160458826454e-08
alka_phos,10,103608495,103799542,C10orf76,3.05831783306712e-14
alka_phos,10,103894609,103907055,PPRC1,6.609169849101681e-15
alka_phos,10,104698571,104836853,CNNM2,2.40986195764183e-12
alka_phos,11,5619338,5664684,TRIM6,8.79910418853692e-08
alka_phos,12,406292,497987,KDM5A,5.60164159502108e-08
alka_phos,12,524031,550660,CCDC77,4.09976966950461e-10
alka_phos,12,572836,670595,B4GALNT3,2.04065496786202e-22
alka_phos,12,4553669,4554630,FGF6,1.52080602682591e-09
alka_phos,12,53924293,53957586,ATF7,1.78414601547893e-10
alka_phos,12,112182876,112189001,ACAD10,4.90016087006966e-10
alka_phos,12,112869780,112935344,PTPN11,1.65870889848175e-17
alka_phos,12,121208238,121334133,SPPL3,7.69060445124565e-15
alka_phos,12,121416864,121438844,HNF1A,5.9504430735861e-14
alka_phos,12,121445728,121454148,C12orf43,2.3679499325285498e-12
alka_phos,12,121458400,121476423,OASL,8.3372298524557e-29
alka_phos,12,121750088,121781489,ANAPC5,6.79629652291118e-10
alka_phos,13,42631719,42803263,DGKH,7.24593337553259e-08
alka_phos,13,43153205,43175221,TNFSF11,1.99227705801102e-09
alka_phos,14,94642417,94742263,PPP4R4,3.1240437136787394e-11
alka_phos,14,94844843,94849201,SERPINA1,7.577540939328099e-43
alka_phos,15,43818079,43820717,MAP1A,4.49245193480033e-12
alka_phos,16,2140554,2144894,PKD1,4.10065659011906e-12
alka_phos,16,72103769,72107865,HPR,1.28458202756047e-17
alka_phos,16,72130103,72143414,DHX38,5.53358323607256e-08
alka_phos,17,7004927,7013812,ASGR2,2.60265811125038e-08
alka_phos,17,7098434,7118322,DLG4,3.658066216783551e-09
alka_phos,17,7217099,7217944,GPS2,2.43446562123612e-37
alka_phos,17,7246851,7254315,ACAP1,6.99304662372703e-13
alka_phos,17,38121993,38131187,GSDMA,9.11641430123566e-08
alka_phos,17,43516738,43555253,PLEKHM1,8.499968799392589e-12
alka_phos,17,67081278,67125337,ABCA6,5.38147899575847e-08
alka_phos,19,18326191,18329784,PDE4C,1.50592422976104e-08
alka_phos,19,18497024,18499422,GDF15,2.36511437101683e-08
alka_phos,19,19155672,19168228,ARMC6,6.20263909123508e-08
alka_phos,19,19329924,19353979,NCAN,1.65872104088906e-11
alka_phos,19,19432416,19455864,MAU2,8.012904034219651e-23
alka_phos,19,19789528,19790178,ZNF101,5.272384856628671e-09
alka_phos,19,41179785,41192417,NUMBL,4.19675195706404e-08
alka_phos,19,41257396,41270055,SNRPA,7.68929913075311e-08
alka_phos,19,41349759,41354458,CYP2A6,3.88110223958904e-08
alka_phos,19,41381683,41387907,CYP2A7,5.13770313498894e-10
alka_phos,19,45351516,45390333,PVRL2,6.63250388158805e-10
alka_phos,19,45394969,45405062,TOMM40,4.43614818219874e-11
alka_phos,19,45410002,45412079,APOE,2.69147747370315e-13
alka_phos,19,45461980,45489674,CLPTM1,1.29823795320835e-16
alka_phos,19,48869178,48877636,SYNGR4,5.88412725210929e-08
alka_phos,19,49061608,49098779,SULT2B1,3.5703569747747494e-11
alka_phos,19,54649172,54657069,CNOT3,1.56088838308253e-09
alka_phos,2,27505758,27526463,TRIM54,6.38669223654629e-10
alka_phos,2,27587724,27590666,EIF2B4,1.87027422438035e-08
alka_phos,2,28011829,28106866,RBKS,7.11734586975926e-14
alka_phos,2,28122890,28546682,BRE,4.66197679763041e-20
alka_phos,2,169788429,169869901,ABCB11,4.42252981439386e-63
alka_phos,2,203656203,203693277,ICA1L,3.47337330422123e-10
alka_phos,20,25057375,25062715,VSX1,2.91202695097386e-12
alka_phos,20,25234841,25363577,PYGB,2.43629354468311e-08
alka_phos,20,25389756,25416773,GINS1,2.19883233483965e-13
alka_phos,20,25434139,25497127,NINL,6.93341955277325e-16
alka_phos,20,56137895,56139365,PCK1,7.38125166073044e-10
alka_phos,4,69342169,69349059,TMPRSS11E,2.61476333281295e-21
alka_phos,6,15246896,15516633,JARID2,5.44518552469953e-09
alka_phos,6,24188947,24357796,DCDC2,1.30401903673896e-86
alka_phos,6,24403411,24423824,MRS2,1.86663231953187e-72
alka_phos,6,24434308,24489652,GPLD1,6.14080961119353e-150
alka_phos,6,24498036,24533505,ALDH5A1,1.15625559449248e-38
alka_phos,6,24551664,24596478,KIAA0319,2.5232779318769402e-37
alka_phos,6,24808548,24873726,FAM65B,6.54086398583858e-16
alka_phos,7,73012042,73026378,MLXIPL,2.32469022777456e-11
alka_phos,7,127015083,127030408,ZNF800,7.251288375447671e-31
alka_phos,8,8646630,8749729,MFHAS1,2.30365048152559e-15
alka_phos,8,9414049,9634022,TNKS,6.6581538369260715e-19
alka_phos,8,9913362,10277269,MSRA,4.67160705794952e-25
alka_phos,8,10761287,11054397,XKR6,5.794777836519231e-25
alka_phos,8,11575840,11614575,GATA4,1.6368929981187e-09
alka_phos,8,11702840,11710888,CTSB,2.50932392642511e-08
alka_phos,9,5640617,5772424,KIAA1432,1.98932074208491e-14
alka_phos,9,135602456,135732277,AK8,8.67738051413269e-08
alka_phos,9,135974079,136022263,RALGDS,7.1164390476328e-49
alka_phos,9,136029138,136037161,GBGT1,3.90816949668903e-14
alka_phos,9,136259231,136270538,C9orf96,1.09526329499613e-283
alka_phos,9,136275229,136281886,REXO4,6.56630554048846e-60
alka_phos,9,136287582,136323845,ADAMTS13,2.50957397782645e-130
alka_phos,9,136337168,136340436,SLC2A6,8.925843631958341e-52
alka_phos,9,136385088,136388479,TMEM8C,1.56558225345277e-33
alka_phos,9,136403754,136416634,ADAMTSL2,5.24525471084505e-19
apo_a,1,62928073,63144920,DOCK7,8.44054013138928e-16
apo_a,1,63272693,63329459,ATG4C,3.25664972319538e-08
apo_a,1,109794123,109806313,CELSR2,4.841045863352381e-09
apo_a,1,230211473,230413313,GALNT2,1.15715118179771e-33
apo_a,10,113921889,113939693,GPAM,1.58446269189578e-09
apo_a,11,46970431,47183690,C11orf49,7.383689592967239e-09
apo_a,11,47741383,47788731,FNBP4,6.098777523640101e-10
apo_a,11,47802071,47864013,NUP160,2.7209632259026497e-11
apo_a,11,48011369,48180921,PTPRJ,1.05773632966817e-12
apo_a,11,56510623,56511160,OR9G4,1.0085519813546e-11
apo_a,11,116620377,116639335,BUD13,2.51464778222008e-27
apo_a,11,116691675,116693871,APOA4,5.1167678759611385e-56
apo_a,11,117076972,117100029,PCSK7,3.49663150798214e-75
apo_a,11,117110417,117153815,RNF214,8.54279344094856e-14
apo_a,12,9077330,9084534,PHC1,4.043366122289881e-09
apo_a,12,53924293,53957586,ATF7,1.87826396658153e-08
apo_a,12,57525756,57595984,LRP1,1.07112688168674e-09
apo_a,12,123651738,123705962,MPHOSPH9,6.78456917971015e-18
apo_a,12,123748216,123753294,CDK2AP1,7.7732675693195115e-19
apo_a,12,123787811,123828792,SBNO1,1.99839249300094e-23
apo_a,12,123902892,123919969,RILPL2,3.41875608933506e-08
apo_a,12,125264018,125348263,SCARB1,3.84906201676876e-18
apo_a,15,43818079,43820717,MAP1A,2.18644578493989e-18
apo_a,15,58724609,58854753,LIPC,1.51248868738912e-119
apo_a,16,56229881,56388893,GNAO1,1.4120880319355e-18
apo_a,16,56400976,56456298,AMFR,1.2517494945766e-24
apo_a,16,56784401,56873840,NUP93,1.82875542332863e-24
apo_a,16,56900931,56946581,SLC12A3,5.54708715591589e-69
apo_a,16,56996288,57017319,CETP,0.0
apo_a,16,57056609,57116287,NLRC5,4.14714544526692e-82
apo_a,16,57145502,57179613,CPNE2,6.26979619951925e-28
apo_a,16,57392733,57395488,CCL22,5.14932777528898e-08
apo_a,16,66997756,67006838,CES3,4.30741615708996e-08
apo_a,16,67031481,67038140,CES4A,5.52737775549872e-08
apo_a,16,67572534,67578396,FAM65A,8.80052444091822e-24
apo_a,16,68120057,68256622,NFATC3,3.50315437107651e-14
apo_a,17,40811781,40818699,TUBG2,8.25595031730312e-12
apo_a,17,41926126,41939212,CD300LG,1.07332345268788e-71
apo_a,17,66875294,66927326,ABCA8,8.844094800352641e-10
apo_a,17,67081278,67125337,ABCA6,5.46110801025179e-08
apo_a,18,46573551,46947056,DYM,1.09055257884468e-15
apo_a,18,47095675,47109955,LIPG,1.91888443043492e-215
apo_a,18,47361450,47718351,MYO5B,3.4664704074002e-56
apo_a,19,8429323,8436164,ANGPTL4,1.48075738687621e-54
apo_a,19,11319491,11362861,DOCK6,1.4792258976722101e-52
apo_a,19,45284266,45299199,CBLC,3.87555279432244e-18
apo_a,19,45351516,45390333,PVRL2,9.75401105867751e-41
apo_a,19,45394969,45405062,TOMM40,1.63805994893932e-36
apo_a,19,45410002,45412079,APOE,5.53922955972135e-153
apo_a,19,45461980,45489674,CLPTM1,4.3680220796805104e-21
apo_a,2,21225500,21261998,APOB,1.20091738996699e-37
apo_a,20,42988702,43057480,HNF4A,2.10771999305444e-87
apo_a,3,47651536,47821025,SMARCC1,3.3028618326431296e-12
apo_a,3,47895705,48040283,MAP4,9.91163174532307e-13
apo_a,3,48205625,48229366,CDC25A,1.45826442932621e-16
apo_a,3,49276196,49294250,CCDC36,1.04182531571378e-08
apo_a,3,50005916,50112998,RBM6,2.64530931468297e-09
apo_a,3,51626449,51690400,RAD54L2,2.06717016687011e-08
apo_a,4,69342169,69349059,TMPRSS11E,3.90193087519319e-17
apo_a,4,102713097,102975423,BANK1,4.45259233149959e-10
apo_a,4,103174819,103262478,SLC39A8,1.31361290290151e-14
apo_a,4,110500822,110605744,CCDC109B,4.33901121403105e-14
apo_a,5,153429459,153432970,MFAP3,1.1735341544826299e-11
apo_a,6,31496915,31497706,MCCD1,6.96909321886167e-13
apo_a,6,31513402,31514247,ATP6V1G2,3.80065825204085e-16
apo_a,6,31591808,31605199,PRRC2A,7.95319923252436e-08
apo_a,6,31850332,31864674,EHMT2,8.641361776571271e-09
apo_a,6,31928148,31937037,SKIV2L,1.3837214128032e-10
apo_a,6,34287912,34354073,NUDT3,1.30828934562259e-09
apo_a,8,9414049,9634022,TNKS,5.1106945680099e-14
apo_a,8,19805708,19822741,LPL,2.68394573104746e-240
apo_a,8,20056352,20072192,ATP6V1B2,8.14156939643595e-08
apo_a,9,107547273,107665739,ABCA1,1.34843054385089e-68
apo_b,1,55505647,55525944,PCSK9,5.77394443452916e-217
apo_b,1,55536159,55668004,USP24,8.02548500421554e-33
apo_b,1,109292062,109351043,STXBP3,7.55538209943153e-09
apo_b,1,109686967,109745618,KIAA1324,6.57255980459524e-12
apo_b,1,109757295,109779073,SARS,3.65958259601426e-43
apo_b,1,109794123,109806313,CELSR2,6.26258498524924e-77
apo_b,1,109823457,109823962,PSRC1,5.67004642045597e-39
apo_b,1,109837129,109846278,MYBPHL,3.1375358544053e-91
apo_b,1,109857815,109933450,SORT1,8.97960829563715e-48
apo_b,1,110091447,110123513,GNAI3,6.12858048296146e-38
apo_b,1,110162995,110170896,AMPD2,2.08827731734168e-27
apo_b,11,61599991,61627811,FADS2,9.88452119212081e-09
apo_b,11,116620377,116639335,BUD13,2.57058375009566e-39
apo_b,11,116691675,116693871,APOA4,3.43030907212016e-13
apo_b,11,117162762,117182657,BACE1,9.34242568861876e-08
apo_b,11,126160826,126162843,TIRAP,2.1877257061736907e-15
apo_b,11,126202361,126211727,DCPS,1.51414369766175e-14
apo_b,16,56996288,57017319,CETP,7.211612182902329e-30
apo_b,16,72103769,72107865,HPR,1.88966157951831e-13
apo_b,16,72130103,72143414,DHX38,6.85638693841176e-17
apo_b,16,72824678,72993925,ZFHX3,3.11238501229657e-10
apo_b,17,64208285,64222164,APOH,8.87358224649307e-18
apo_b,17,67081278,67125337,ABCA6,1.40840782464516e-36
apo_b,17,67412362,67536671,MAP2K6,1.19247598929693e-16
apo_b,19,10464138,10488926,TYK2,1.43063427295892e-13
apo_b,19,10664661,10675334,KRI1,4.96894901311558e-29
apo_b,19,10686123,10694720,AP1M2,1.12956927066812e-21
apo_b,19,10723572,10752352,SLC44A2,6.45800300977647e-37
apo_b,19,11097807,11170677,SMARCA4,1.3949513161472198e-42
apo_b,19,11202306,11241810,LDLR,3.3856222212734106e-173
apo_b,19,11428044,11446031,TSPAN16,5.34531860996168e-08
apo_b,19,18326191,18329784,PDE4C,6.05138421594376e-08
apo_b,19,19155672,19168228,ARMC6,1.03574431616989e-09
apo_b,19,19329924,19353979,NCAN,5.291942524948311e-14
apo_b,19,19432416,19455864,MAU2,4.91044796367269e-22
apo_b,19,19789528,19790178,ZNF101,6.34523940553594e-09
apo_b,19,44791447,44805948,ZNF235,6.72090312366521e-18
apo_b,19,44832693,44842435,ZFP112,7.66904251891064e-90
apo_b,19,44891405,44896239,ZNF285,5.95623574315635e-62
apo_b,19,44932521,44934842,ZNF229,6.9645188505163e-09
apo_b,19,45121297,45134110,IGSF23,1.22247180829647e-112
apo_b,19,45284266,45299199,CBLC,0.0
apo_b,19,45316372,45323471,BCAM,1.52928387724586e-133
apo_b,19,45351516,45390333,PVRL2,0.0
apo_b,19,45394969,45405062,TOMM40,0.0
apo_b,19,45410002,45412079,APOE,0.0
apo_b,19,45461980,45489674,CLPTM1,4.48956032642799e-18
apo_b,19,45513854,45537779,RELB,1.2237703680332298e-11
apo_b,19,45543755,45573405,CLASRP,1.8353584741119e-19
apo_b,19,45606231,45639716,LRRC68,9.21066656278668e-08
apo_b,19,45670248,45673929,TRAPPC6A,1.15675258683566e-27
apo_b,19,45756763,45799910,MARK4,1.58010456135813e-12
apo_b,19,45814860,45821183,CKM,2.3351348742506297e-11
apo_b,19,45854919,45867259,ERCC2,2.7402511012447706e-21
apo_b,19,46292649,46295223,DMWD,5.63652230169379e-47
apo_b,2,20891887,20991348,C2orf43,3.4252747908191e-38
apo_b,2,21225500,21261998,APOB,2.79305633588956e-221
apo_b,2,27323198,27326067,CGREF1,6.41941662049561e-08
apo_b,2,27423913,27430237,SLC5A6,5.10188746572373e-11
apo_b,2,27505758,27526463,TRIM54,3.04589018784598e-14
apo_b,2,27611454,27623999,PPM1G,4.31669397025935e-10
apo_b,2,28011829,28106866,RBKS,5.34856385750378e-10
apo_b,2,28122890,28546682,BRE,3.15547550999215e-14
apo_b,2,44040401,44065090,ABCG5,6.01003455775403e-22
apo_b,2,44066247,44102197,ABCG8,1.11270331563159e-38
apo_b,2,203820923,203846817,ALS2CR8,1.22438112575672e-09
apo_b,3,52364168,52434095,DNAH1,8.61492546189169e-08
apo_b,4,69342169,69349059,TMPRSS11E,5.80709710318317e-08
apo_b,5,74682474,74797907,COL4A3BP,1.0993608805012e-18
apo_b,5,155759874,156184254,SGCD,7.17045377518488e-08
apo_b,5,156457328,156482296,HAVCR1,1.3787860179539798e-11
apo_b,6,25762241,25779000,SLC17A4,3.2322914956729e-09
apo_b,6,31098832,31107648,PSORS1C1,1.9218138014115904e-10
apo_b,6,31110391,31125257,CCHCR1,1.41834479052252e-10
apo_b,6,31498497,31507834,DDX39B,1.5206439591018697e-11
apo_b,6,32605326,32609813,HLA-DQA1,4.95667829516372e-25
apo_b,6,160394730,160519228,IGF2R,2.1140178714091802e-17
apo_b,6,160544961,160578860,SLC22A1,4.90038765121881e-09
apo_b,6,160779213,160857193,SLC22A3,9.20187963556716e-25
apo_b,6,160952816,161083025,LPA,5.9999277488374e-52
apo_b,7,73012042,73026378,MLXIPL,5.86436134778408e-10
apo_b,8,19805708,19822741,LPL,1.61824822398273e-14
asp_at,1,161677350,161680518,FCRLA,2.4548799881785e-08
asp_at,1,161736209,161919011,ATF6,1.72768113770142e-16
asp_at,10,16870912,17167732,CUBN,3.39393004851921e-11
asp_at,10,17366361,17494978,ST8SIA6,3.97824193020772e-40
asp_at,10,17632562,17656025,PTPLA,9.37278510043875e-27
asp_at,10,17710487,17753044,STAM,9.90446205067918e-18
asp_at,10,18242311,18318296,SLC39A12,1.67424486102899e-100
asp_at,10,18431918,18828635,CACNB2,1.59434395922031e-11
asp_at,10,100219374,100992702,HPSE2,2.41203741796274e-14
asp_at,10,101544088,101611294,ABCC2,7.594724575580598e-28
asp_at,10,101636917,101729881,DNMBP,5.954337067051329e-11
asp_at,10,101953275,101968237,CHUK,4.13316709746425e-08
asp_at,10,101993033,102006625,CWF19L1,7.93093497232367e-12
asp_at,10,102048208,102089663,PKD2L1,1.57815549471106e-14
asp_at,14,50603986,50696798,SOS2,2.1695536919583105e-35
asp_at,14,50715642,50778816,L2HGDH,2.64071283795068e-28
asp_at,14,51196657,51280387,NIN,8.59173234366464e-09
asp_at,14,94642417,94742263,PPP4R4,4.03322610288353e-10
asp_at,14,94844843,94849201,SERPINA1,4.06316228346469e-37
asp_at,16,58743454,58757683,GOT2,6.14463173613125e-10
asp_at,17,7129898,7134129,DVL2,1.04070127167675e-09
asp_at,17,43516738,43555253,PLEKHM1,1.64035184511384e-14
asp_at,17,64208285,64222164,APOH,6.95470341745927e-20
asp_at,17,64304804,64796272,PRKCA,1.73530380119873e-10
asp_at,17,78241577,78363054,RNF213,4.27408777778519e-09
asp_at,18,55111632,55141974,ONECUT2,1.45993548127101e-10
asp_at,19,3545631,3556464,C19orf28,3.1352079932212e-08
asp_at,19,19432416,19455864,MAU2,2.09784896817366e-15
asp_at,22,44322922,44341300,PNPLA3,2.80512419188837e-67
asp_at,22,44355693,44391686,SAMM50,2.55262716394706e-33
asp_at,22,44395451,44562756,PARVB,2.4566627256523602e-17
asp_at,3,45969795,46003735,FYCO1,2.23205000779066e-21
asp_at,3,58014986,58145348,FLNB,1.47362050110315e-10
asp_at,3,58373167,58410164,PXK,5.664523053522e-22
asp_at,3,58497779,58510664,ACOX2,2.77560937649619e-15
asp_at,3,132158769,132256930,DNAJC13,2.52258841566027e-09
asp_at,5,131819800,131824486,IRF1,3.47609780959601e-08
asp_at,6,26501897,26509382,BTN1A1,8.05779271084717e-08
asp_at,6,31098832,31107648,PSORS1C1,2.94483588708045e-20
asp_at,6,31110391,31125257,CCHCR1,4.00570718518137e-14
asp_at,6,31496915,31497706,MCCD1,4.0213921650595696e-11
asp_at,6,31513402,31514247,ATP6V1G2,4.1228490554166997e-78
asp_at,6,31591808,31605199,PRRC2A,4.24612952817959e-12
asp_at,6,31655438,31669496,ABHD16A,2.26730139404467e-09
asp_at,6,31731881,31732207,C6orf26,5.49165051211276e-08
asp_at,6,31850332,31864674,EHMT2,1.48198842323475e-19
asp_at,6,31868765,31912523,ZBTB12,2.80017342608804e-09
asp_at,6,31928148,31937037,SKIV2L,3.9258649492152e-15
asp_at,6,32134510,32135137,EGFL8,2.38440744926294e-08
asp_at,6,32146492,32148031,RNF5,2.24893557110306e-08
asp_at,6,32163274,32191457,NOTCH4,3.7240532763796e-18
asp_at,6,32261507,32339076,C6orf10,1.58428326708808e-45
asp_at,6,32605326,32609813,HLA-DQA1,2.17955545411248e-33
asp_at,6,32792973,32805470,TAP2,6.4370312894288495e-12
asp_at,6,33269881,33280629,TAPBP,5.51831825790217e-08
asp_at,8,9913362,10277269,MSRA,3.10427170635563e-08
asp_at,9,117122615,117141946,AKNA,1.79922075410116e-10
basal_metabolic,1,50913388,51391845,FAF1,5.6530746124121496e-11
basal_metabolic,1,78517477,78601048,GIPC2,5.07236981976604e-08
basal_metabolic,1,150550924,150551327,MCL1,1.4973549540509e-09
basal_metabolic,1,155922195,155947635,ARHGEF2,5.70009166533936e-08
basal_metabolic,1,176833497,177133041,ASTN1,3.90350525236727e-08
basal_metabolic,10,34401632,35101464,PARD3,8.0854372530581e-08
basal_metabolic,10,103894609,103907055,PPRC1,8.50370806740035e-10
basal_metabolic,12,46755374,46764254,SLC38A2,4.39445337896416e-08
basal_metabolic,12,66224461,66346714,HMGA2,4.5461947702603597e-11
basal_metabolic,12,106986804,107155117,RFX4,1.27169707582759e-09
basal_metabolic,12,122717710,122748099,VPS33A,3.35867774703402e-08
basal_metabolic,12,122760524,122864920,CLIP1,8.0060788805275e-08
basal_metabolic,12,123322415,123345509,HIP1R,1.53693187077545e-08
basal_metabolic,12,123472472,123519112,PITPNM2,2.21369282904504e-08
basal_metabolic,13,50283568,50365706,KPNA3,1.3669633811167902e-15
basal_metabolic,14,94844843,94849201,SERPINA1,4.06424398580185e-08
basal_metabolic,15,43818079,43820717,MAP1A,1.5116121669254802e-09
basal_metabolic,15,89381556,89417629,ACAN,2.1568943184240802e-17
basal_metabolic,15,99202875,99500055,IGF1R,6.0895852249665e-08
basal_metabolic,16,342437,393342,AXIN1,8.29338547398295e-10
basal_metabolic,16,4751045,4777459,ANKS3,7.803678562545709e-11
basal_metabolic,16,15125441,15129970,PDXDC1,1.83503421835949e-09
basal_metabolic,16,29922011,29936654,KCTD13,6.50631500898058e-08
basal_metabolic,16,53749128,54137949,FTO,7.22761005759448e-11
basal_metabolic,16,88773738,88781614,CTU2,1.25576418152917e-08
basal_metabolic,19,46179110,46182304,GIPR,4.59279917265298e-10
basal_metabolic,2,55785408,55843052,SMEK2,4.274218978750351e-09
basal_metabolic,2,56119413,56145541,EFEMP1,5.19853943226067e-08
basal_metabolic,2,232882748,233162244,DIS3L2,6.88307792984233e-08
basal_metabolic,20,31874762,31894789,BPIFB1,4.45307750663575e-08
basal_metabolic,20,32333181,32378732,ZNF341,4.76819284056518e-08
basal_metabolic,20,33171268,33264731,PIGU,8.44572527821729e-16
basal_metabolic,20,33437621,33457367,GGT7,5.15115596676206e-22
basal_metabolic,20,33563932,33588185,MYH7B,1.67049788946461e-12
basal_metabolic,20,33703607,33733180,EDEM2,4.46823951522505e-12
basal_metabolic,20,33906639,33968939,UQCC,2.53170445488439e-13
basal_metabolic,20,34079200,34095223,CEP250,4.70755422051231e-13
basal_metabolic,20,34214723,34239008,CPNE1,2.95594700777784e-10
basal_metabolic,20,34292961,34314725,RBM39,2.24021025538417e-13
basal_metabolic,20,34417059,34530739,PHF20,7.63686850547395e-24
basal_metabolic,4,17848100,18013639,LCORL,6.160035373408321e-15
basal_metabolic,4,145923298,146015170,ANAPC10,6.99545493754172e-08
basal_metabolic,5,176517170,176520243,FGFR4,3.68849524257087e-08
basal_metabolic,6,27879200,27879982,OR2B2,5.81295087620504e-08
basal_metabolic,6,28117105,28121278,ZNF192,5.17433975666393e-08
