Trait,CHR,pStart,pEnd,Gene,pval_fastKAST
ala_at,17,64208285,64222164,APOH,6.946332398172217e-12
ala_at,18,55280221,55287527,NARS,6.7145224935671885e-09
ala_at,18,55316545,55394657,ATP8B1,3.3528735343679734e-14
ala_at,18,55713536,56059400,NEDD4L,4.147122611986021e-08
ala_at,18,60804334,60978979,BCL2,2.6415780673971767e-10
ala_at,19,3728609,3750615,TJP3,1.1526013476981234e-10
ala_at,19,3752874,3758598,APBA3,6.730229373808072e-09
ala_at,19,18214031,18255359,MAST3,1e-14
ala_at,19,18326191,18329784,PDE4C,9.723044591680717e-11
ala_at,19,19155672,19168228,ARMC6,1e-14
ala_at,19,19293252,19301186,MEF2BNB,1.234568003383174e-12
ala_at,19,19329924,19353979,NCAN,1e-14
ala_at,19,19432416,19455864,MAU2,1e-14
ala_at,19,19789528,19790178,ZNF101,1e-14
ala_at,19,33881128,34001331,PEPD,1e-14
ala_at,19,45394969,45405062,TOMM40,1e-14
ala_at,19,45410002,45412079,APOE,1e-14
ala_at,2,44066247,44102197,ABCG8,2.327027459614328e-13
ala_at,2,165545615,165688494,COBLL1,1.4810375148499588e-13
ala_at,2,169788429,169869901,ABCB11,3.0179747589897936e-11
ala_at,2,170592709,170598725,KLHL23,6.116868334071769e-08
ala_at,2,233498431,233543892,EFHD1,1e-14
ala_at,20,32988931,33081476,ITCH,8.923040084596323e-11
ala_at,20,33171268,33264731,PIGU,1.7884722369743145e-08
ala_at,20,33563932,33588185,MYH7B,1.1700973523431912e-11
ala_at,21,30694006,30713598,BACH1,4.4469636750754666e-08
ala_at,22,28378384,29056152,TTC28,9.567811765087695e-09
ala_at,22,29088123,29130012,CHEK2,1.2168155372194178e-11
ala_at,22,36140474,36423437,RBFOX2,1.7698595256021576e-08
ala_at,22,38517880,38560836,PLA2G6,3.1723956794849067e-11
ala_at,22,44322922,44341300,PNPLA3,1e-14
ala_at,22,44355693,44391686,SAMM50,1e-14
ala_at,22,44395451,44562756,PARVB,1e-14
ala_at,3,12393125,12475557,PPARG,1e-14
ala_at,3,135721036,135854035,PPP2R3A,1e-14
ala_at,3,135974216,136032049,PCCB,1e-14
ala_at,3,136062523,136295540,STAG1,1e-14
ala_at,3,149241793,149373631,WWTR1,8.174365628832447e-08
ala_at,3,152025796,152172182,MBNL1,1.1759517803966444e-09
ala_at,3,159980566,160094987,IFT80,1.4993895014470127e-11
ala_at,4,17848100,18013639,LCORL,1.994207843303286e-08
ala_at,4,87873164,88046938,AFF1,1e-14
ala_at,4,100502747,100533913,MTTP,6.496063686967091e-10
ala_at,4,146687009,146853165,ZNF827,1e-14
ala_at,6,31098832,31107648,PSORS1C1,1.9907339332547732e-08
ala_at,6,31513402,31514247,ATP6V1G2,7.12346883702253e-08
ala_at,6,31607111,31618761,BAG6,4.696582567298435e-09
ala_at,6,31850332,31864674,EHMT2,2.1035828634552442e-10
ala_at,6,31928148,31937037,SKIV2L,3.4431957285363524e-10
ala_at,6,31937762,31939345,DOM3Z,4.286127008867879e-12
ala_at,6,32085278,32093922,ATF6B,7.873217056086902e-08
ala_at,6,32121659,32130329,PPT2,2.735537796283438e-09
ala_at,6,32605326,32609813,HLA-DQA1,1e-14
ala_at,6,33045558,33053942,HLA-DPB1,9.117907540101555e-10
ala_at,6,116278118,116371630,FRK,1.0900526037360692e-09
ala_at,6,127444091,127507403,RSPO3,9.530380040700948e-09
ala_at,7,72864869,72934080,BAZ1B,3.150137040108802e-09
ala_at,7,72951881,72971231,BCL7B,7.743872210141943e-11
ala_at,7,73012042,73026378,MLXIPL,5.340061726144541e-12
ala_at,7,86983715,87021023,CROT,2.406756571815549e-09
ala_at,7,87045317,87102772,ABCB4,1e-14
ala_at,8,8176221,8236958,SGK223,4.2488979001831246e-08
ala_at,8,8646630,8749729,MFHAS1,7.860379014346108e-14
ala_at,8,8860992,8882512,ERI1,1.3975052226555815e-09
ala_at,8,9414049,9634022,TNKS,2.4219185212892572e-08
ala_at,8,9913362,10277269,MSRA,1.3637979634495425e-12
ala_at,8,10464604,10480679,RP1L1,1.592450726839445e-09
ala_at,8,10532188,10552959,C8orf74,1.1716295711394764e-08
ala_at,8,10761287,11054397,XKR6,2.042810365310288e-14
ala_at,8,11146031,11163256,MTMR9,5.1032511549919946e-12
ala_at,8,145220414,145276643,HEATR7A,1.0245270853914691e-08
ala_at,8,145661675,145667079,TONSL,1e-14
ala_at,8,145678363,145689667,CYHR1,7.609857188839442e-11
ala_at,8,145729727,145730330,GPT,1e-14
ala_at,8,145756173,145822632,ARHGAP39,7.41029460016307e-12
ala_at,8,145948440,145972950,ZNF251,1e-14
ala_at,8,146055528,146068322,ZNF7,5.722392326656944e-08
ala_at,9,117122615,117141946,AKNA,1e-14
ala_at,9,117166206,117266965,DFNB31,1e-14
albumin,1,1486903,1500925,SSU72,3.6084267573954776e-08
albumin,1,16387445,16393357,FAM131C,5.802220481854192e-09
albumin,1,16525657,16535487,ARHGEF19,1.7427104204159603e-09
albumin,1,19203227,19227791,ALDH4A1,6.497887206080577e-08
albumin,1,39549983,39949254,MACF1,1.8984813721090177e-14
albumin,1,66040934,66102257,LEPR,2.5869750786000623e-11
albumin,1,150724531,150737220,CTSS,8.29232771337729e-09
albumin,1,154382049,154423485,IL6R,4.802405140225119e-10
albumin,1,155026942,155033918,ADAM15,1e-14
albumin,1,155148520,155152545,TRIM46,9.942557888109603e-11
albumin,1,155160556,155162067,MUC1,3.589466002207331e-08
albumin,1,178075351,178434852,RASAL2,2.6018118104431665e-08
albumin,1,178483231,178489978,C1orf49,4.803978803646913e-08
albumin,1,196221130,196573038,KCNT2,1.0874738554100816e-08
albumin,1,196623337,196712596,CFH,3.0888624991121105e-12
albumin,1,220970028,220985677,MOSC1,2.2294912471743092e-08
albumin,1,221053545,221057739,HLX,7.263319057315698e-09
albumin,10,21824727,21994681,MLLT10,3.663735981263017e-13
albumin,10,22050570,22291832,DNAJC1,2.1358914636948608e-11
albumin,10,64927823,65220711,JMJD1C,2.083888617221419e-13
albumin,10,65315397,65378695,REEP3,1.376676550535194e-14
albumin,11,35163114,35244887,CD44,3.060341469129924e-08
albumin,11,47383373,47397005,SPI1,1e-14
albumin,11,48011369,48180921,PTPRJ,9.145443069513703e-09
albumin,11,65349756,65359535,EHBP1L1,1.4493317657127136e-10
albumin,12,56865338,56881614,GLS2,1e-14
albumin,12,56920939,56982290,RBMS2,1.4244161405940758e-13
albumin,12,123787811,123828792,SBNO1,9.128029465621525e-08
albumin,14,51072865,51090295,ATL1,6.4358337548142686e-09
albumin,14,92980553,93151596,RIN3,1e-14
albumin,14,94642417,94742263,PPP4R4,1e-14
albumin,14,94844843,94849201,SERPINA1,1e-14
albumin,14,94933473,94940743,SERPINA9,8.543257878912414e-09
albumin,14,105897408,105927433,MTA1,1.5008083664724836e-10
albumin,15,40226495,40325829,EIF2AK4,2.0914683318551397e-09
albumin,15,42683787,42703356,CAPN3,1e-14
albumin,15,43571211,43588888,TGM7,1.11655129586552e-12
albumin,15,43818079,43820717,MAP1A,1e-14
albumin,15,44856015,44944037,SPG11,1e-14
albumin,15,60796818,61519574,RORA,1e-14
albumin,15,67360728,67477569,SMAD3,6.476869485183556e-09
albumin,15,78295562,78369815,TBC1D2B,1e-14
albumin,15,78390414,78394979,SH2D7,2.021632083959446e-09
albumin,16,15131974,15148646,NTAN1,5.851262696587867e-09
albumin,17,1621714,1640793,WDR81,1e-14
albumin,17,1648294,1657653,SERPINF2,1e-14
albumin,17,1965542,2202943,SMG6,1.3994554848295593e-08
albumin,17,7098434,7118322,DLG4,6.02153549245088e-10
albumin,17,7129898,7134129,DVL2,2.3165369622546447e-10
albumin,17,7391524,7410212,POLR2A,1.4057199848593882e-11
albumin,17,7452977,7462555,TNFSF12-TNFSF13,2.615951899542779e-11
albumin,17,40254065,40263458,DHX58,1e-14
albumin,17,40356360,40380203,STAT5B,7.172040739078511e-13
albumin,17,43474668,43482264,ARHGAP27,1e-14
albumin,17,43516738,43555253,PLEKHM1,1e-14
albumin,17,44044058,44089281,MAPT,1e-14
albumin,17,44116843,44248848,KIAA1267,3.7848259415440566e-08
albumin,17,47685050,47696820,SPOP,2.436707391417769e-09
albumin,17,47800544,47835179,FAM117A,6.34714503178202e-13
albumin,17,66419633,66451646,WIPI1,3.8271879110318714e-08
albumin,17,66875294,66927326,ABCA8,1e-14
albumin,17,67081278,67125337,ABCA6,1e-14
albumin,17,67145290,67212768,ABCA10,1.8111572241963358e-09
albumin,17,67412362,67536671,MAP2K6,1e-14
albumin,18,57113149,57362210,CCBE1,8.696044884182187e-08
albumin,19,7119018,7284870,INSR,7.015499292606364e-13
albumin,19,33881128,34001331,PEPD,1e-14
albumin,19,35495531,35513237,GRAMD1A,2.475144311731014e-09
albumin,19,35524824,35530073,SCN1B,6.192416535100166e-08
albumin,19,35535289,35555683,HPN,1e-14
albumin,19,49956690,49965688,ALDH16A1,4.930366115374341e-10
albumin,19,50034766,50045979,RCN3,1e-14
albumin,19,50109230,50123590,PRR12,1e-14
albumin,19,50243794,50261641,TSKS,2.8709379318314627e-10
albumin,2,26924018,26948154,KCNK3,1.5099033134902132e-14
albumin,2,27505758,27526463,TRIM54,9.681144774731365e-14
albumin,2,27587724,27590666,EIF2B4,1e-14
albumin,2,27611454,27623999,PPM1G,4.044539148040371e-10
albumin,2,27669137,27686911,IFT172,1e-14
albumin,2,27799773,27801759,C2orf16,1e-14
albumin,2,27815510,27834152,ZNF512,1e-14
albumin,2,28011829,28106866,RBKS,1.3897116790673178e-10
albumin,2,28122890,28546682,BRE,1e-14
albumin,2,165545615,165688494,COBLL1,1e-14
albumin,2,242349333,242416361,FARP2,6.006306563222097e-14
albumin,22,38204089,38212624,GCAT,1.6846412043136636e-09
albumin,22,38272894,38283643,EIF3L,3.035349749325178e-13
albumin,3,12393125,12475557,PPARG,1e-14
albumin,3,33431826,33467112,UBP1,3.5505554052406296e-10
albumin,3,48205625,48229366,CDC25A,4.563321942541165e-10
albumin,3,49276196,49294250,CCDC36,3.88216125912777e-11
albumin,3,132158769,132256930,DNAJC13,1.945829719574021e-09
albumin,4,3318726,3434931,RGS12,1e-14
albumin,4,3443993,3451109,HGFAC,1e-14
albumin,4,3469443,3494898,DOK7,1e-14
albumin,4,3516559,3532784,LRPAP1,1e-14
albumin,4,77236034,77306786,CCDC158,4.6279323928644096e-08
albumin,4,102713097,102975423,BANK1,9.740062090202173e-09
albumin,4,103174819,103262478,SLC39A8,3.226785505461294e-11
albumin,4,129018409,129114684,LARP1B,3.488764832582092e-11
albumin,4,154130439,154254516,TRIM2,1.7358590786997752e-08
albumin,5,72119026,72176082,TNPO1,1e-14
albumin,5,72314959,72376072,FCHO2,1e-14
albumin,5,112859017,112920108,YTHDC2,6.830978049876536e-08
albumin,5,122685727,122757242,CEP120,1.2299690155259666e-09
albumin,6,30953105,30955929,MUC21,1.2962741990918403e-10
albumin,6,31237257,31238716,HLA-C,2.934370524343421e-10
albumin,6,31915144,31918903,CFB,9.05128083594775e-10
albumin,6,31928148,31937037,SKIV2L,5.92156781387132e-08
albumin,6,32149883,32151934,AGER,2.070161153611138e-09
albumin,6,32163274,32191457,NOTCH4,2.610350713361242e-09
albumin,6,32261507,32339076,C6orf10,1.6397653235245e-09
albumin,6,32605326,32609813,HLA-DQA1,3.37050387599902e-10
albumin,6,34559969,34657369,C6orf106,2.365522489000682e-08
albumin,6,160952816,161083025,LPA,1e-14
albumin,7,2294994,2349419,SNX8,1.4084289290394736e-12
albumin,7,17842957,17978826,SNX13,1.1666412280675331e-09
albumin,7,72864869,72934080,BAZ1B,1e-14
albumin,7,72951881,72971231,BCL7B,1.5347723092418164e-12
albumin,7,72985148,72990917,TBL2,3.9591791178850144e-08
albumin,7,73012042,73026378,MLXIPL,1.4432899320127035e-14
albumin,7,100010770,100017454,ZCWPW1,1.5656867580204903e-08
albumin,7,150490238,150493495,TMEM176B,3.084199562408685e-12
albumin,7,150500032,150501516,TMEM176A,7.809596858088241e-09
albumin,8,30247184,30413888,RBPMS,1.8316237415660906e-09
albumin,8,145053629,145059425,PARP10,8.632560777321885e-09
albumin,9,112142986,112224743,PTPN3,2.559219502984433e-11
alcohol_freq,11,47802071,47864013,NUP160,5.504909417197724e-08
alcohol_freq,16,29891206,29907027,SEZ6L2,3.822674399245329e-09
alcohol_freq,16,29993108,29998200,TAOK2,3.6083032117772965e-09
alcohol_freq,16,53749128,54137949,FTO,1.1260470333951388e-10
alcohol_freq,18,21084265,21109466,C18orf8,1e-14
alcohol_freq,18,21114145,21162161,NPC1,1e-14
alcohol_freq,2,23790221,23926659,KLHL29,1.5152217924807587e-08
alcohol_freq,2,27587724,27590666,EIF2B4,1.5760948102183647e-11
alcohol_freq,2,27669137,27686911,IFT172,6.361413618094501e-10
alcohol_freq,2,27799773,27801759,C2orf16,5.338840480817453e-12
alcohol_freq,2,27815510,27834152,ZNF512,1e-14
alcohol_freq,2,28122890,28546682,BRE,7.714809235892517e-09
alcohol_freq,3,49737954,49749976,RNF123,4.036440293120336e-09
alcohol_freq,3,49768927,49771943,IP6K1,2.1339148559285093e-08
alcohol_freq,4,39420994,39450229,KLB,1e-14
alcohol_freq,7,73012042,73026378,MLXIPL,2.047451319597826e-08
alka_phos,1,2329212,2334261,RER1,6.273855879257438e-10
alka_phos,1,20916791,20945055,CDA,1e-14
alka_phos,1,20980847,20986078,DDOST,4.181344159803757e-11
alka_phos,1,20992819,21043790,KIF17,1e-14
alka_phos,1,21152384,21325360,EIF4G3,1e-14
alka_phos,1,21552149,21671184,ECE1,1e-14
alka_phos,1,21775584,21800219,NBPF3,1e-14
alka_phos,1,21883742,21894307,ALPL,1e-14
alka_phos,1,21924912,21976289,RAP1GAP,1e-14
alka_phos,1,22012208,22108543,USP48,1e-14
alka_phos,1,22139854,22147739,LDLRAD2,1e-14
alka_phos,1,22151809,22256814,HSPG2,1e-14
alka_phos,1,22304142,22313103,CELA3B,4.501768846587595e-09
alka_phos,1,22447523,22464564,WNT4,3.9948488961272226e-11
alka_phos,1,39549983,39949254,MACF1,1.84297022087776e-13
alka_phos,1,44013474,44086831,PTPRF,2.5123125801940205e-11
alka_phos,1,44208306,44380585,ST3GAL3,1.0979772646635409e-11
alka_phos,1,66040934,66102257,LEPR,2.3425705819590803e-14
alka_phos,1,154382049,154423485,IL6R,1e-14
alka_phos,1,154499947,154516404,TDRD10,6.334548441344623e-10
alka_phos,1,205712544,205717823,NUCKS1,2.1389559012874315e-09
alka_phos,1,220970028,220985677,MOSC1,1e-14
alka_phos,1,247584591,247610829,NLRP3,1.0169642905566435e-13
alka_phos,10,5138036,5149144,AKR1C3,1.7004614383253622e-09
alka_phos,10,5241756,5260682,AKR1C4,3.597122599785507e-14
alka_phos,10,45875980,45938677,ALOX5,2.66173703078465e-08
alka_phos,10,45953767,46024729,MARCH8,5.38555866569368e-11
alka_phos,10,64927823,65220711,JMJD1C,1e-14
alka_phos,10,65315397,65378695,REEP3,1e-14
alka_phos,10,79557402,79682918,DLG5,1e-14
alka_phos,10,93562484,93603922,TNKS2,1.4937225900624185e-08
alka_phos,10,96523402,96603458,CYP2C19,5.5507962670731104e-08
alka_phos,10,102247408,102274360,SEC31B,1.2361223156176493e-12
alka_phos,10,103608495,103799542,C10orf76,1e-14
alka_phos,10,103894609,103907055,PPRC1,3.665656667095618e-11
alka_phos,10,104269217,104372022,SUFU,3.887323796192277e-11
alka_phos,10,104633524,104653717,AS3MT,8.715002053349962e-10
alka_phos,10,104698571,104836853,CNNM2,1.7208456881689926e-13
alka_phos,10,104850155,104934709,NT5C2,3.2124303217528904e-12
alka_phos,10,113921889,113939693,GPAM,1.4473977572038166e-12
alka_phos,10,116583614,116642841,FAM160B1,1.642687985636826e-09
alka_phos,11,5619338,5664684,TRIM6,1e-14
alka_phos,11,5686266,5701281,TRIM5,1e-14
alka_phos,11,9008674,9024044,NRIP3,1e-14
alka_phos,11,16001354,16419171,SOX6,1.552378159352941e-08
alka_phos,11,47741383,47788731,FNBP4,2.8748187608229614e-08
alka_phos,11,61524119,61553201,C11orf9,1.0635936575909e-13
alka_phos,11,61599991,61627811,FADS2,1e-14
alka_phos,11,118486067,118515779,PHLDB1,1.0765877078711128e-10
alka_phos,11,118633561,118651809,DDX6,1e-14
alka_phos,11,126160826,126162843,TIRAP,1e-14
alka_phos,11,126202361,126211727,DCPS,1e-14
alka_phos,11,126294817,126859157,KIRREL3,2.206579363672745e-11
alka_phos,11,134252030,134256805,B3GAT1,2.520766706481936e-09
alka_phos,12,332190,351684,SLC6A13,7.960623049640958e-09
alka_phos,12,406292,497987,KDM5A,1e-14
alka_phos,12,524031,550660,CCDC77,1e-14
alka_phos,12,572836,670595,B4GALNT3,1e-14
alka_phos,12,4553669,4554630,FGF6,1.97970915216672e-08
alka_phos,12,4599279,4639750,C12orf4,1e-14
alka_phos,12,14577892,14631753,ATF7IP,6.442148015040061e-08
alka_phos,12,53670545,53682457,ESPL1,1e-14
alka_phos,12,53924293,53957586,ATF7,1.2788992087564566e-11
alka_phos,12,106460938,106530755,NUAK1,4.423776900353005e-10
alka_phos,12,112182876,112189001,ACAD10,5.02788477518834e-10
alka_phos,12,112869780,112935344,PTPN11,1e-14
alka_phos,12,121079806,121090195,CABP1,2.8509732352688392e-09
alka_phos,12,121208238,121334133,SPPL3,1e-14
alka_phos,12,121416864,121438844,HNF1A,1e-14
alka_phos,12,121445728,121454148,C12orf43,1e-14
alka_phos,12,121458400,121476423,OASL,1e-14
alka_phos,12,121579024,121622304,P2RX7,2.4102355666855143e-08
alka_phos,12,121680460,121710981,CAMKK2,6.166408494934217e-10
alka_phos,12,121750088,121781489,ANAPC5,1.0023981644735611e-09
alka_phos,13,42631719,42803263,DGKH,1.9219136060399933e-08
alka_phos,13,43153205,43175221,TNFSF11,1e-14
alka_phos,13,95234573,95242571,TGDS,4.1375236570218015e-11
alka_phos,13,95258944,95273447,GPR180,1e-14
alka_phos,13,110960712,111164258,COL4A2,1e-14
alka_phos,14,24869751,24885606,NYNRIN,7.061018436615997e-13
alka_phos,14,72433144,73026532,RGS6,1.83748114501725e-08
alka_phos,14,73711513,73737581,PAPLN,1.3397482900856517e-08
alka_phos,14,75490702,75515101,MLH3,7.297714654797004e-10
alka_phos,14,75558152,75574087,NEK9,4.699372002647806e-10
alka_phos,14,92980553,93151596,RIN3,1.6242340805661115e-11
alka_phos,14,94642417,94742263,PPP4R4,1.964544038557392e-08
alka_phos,14,94844843,94849201,SERPINA1,1e-14
alka_phos,14,102231130,102375852,PPP2R5C,1.8029336468217142e-08
alka_phos,14,103566785,103575396,EXOC3L4,7.774276777894328e-10
alka_phos,15,43818079,43820717,MAP1A,9.532818978641444e-11
alka_phos,15,51507874,51533007,CYP19A1,7.537507185073623e-08
alka_phos,15,58724609,58854753,LIPC,1.6550316672692134e-11
alka_phos,15,90753755,90767489,SEMA4B,7.517799716083572e-10
alka_phos,16,2101591,2135073,TSC2,1.1534360133680366e-09
alka_phos,16,2140554,2144894,PKD1,1e-14
alka_phos,16,11773662,11835147,TXNDC11,9.70334923522387e-14
alka_phos,16,53478855,53518205,RBL2,1.8572432480823406e-10
alka_phos,16,67991972,67998850,SLC12A4,1e-14
alka_phos,16,68120057,68256622,NFATC3,1.3322676295501878e-14
alka_phos,16,68280317,68292556,PLA2G15,1.1476021466449993e-08
alka_phos,16,71660310,71674405,MARVELD3,1.1886377326852935e-08
alka_phos,16,71682830,71710428,PHLPP2,1e-14
alka_phos,16,72103769,72107865,HPR,1e-14
alka_phos,16,72158477,72199122,PMFBP1,1e-14
alka_phos,17,1621714,1640793,WDR81,1e-14
alka_phos,17,1648294,1657653,SERPINF2,1e-14
alka_phos,17,1840468,1926482,RTN4RL1,5.0911376670015336e-08
alka_phos,17,1935204,1943880,DPH1,1.807192240299571e-08
alka_phos,17,1965542,2202943,SMG6,4.684841181656907e-09
alka_phos,17,7004927,7013812,ASGR2,1e-14
alka_phos,17,7098434,7118322,DLG4,1e-14
alka_phos,17,7129898,7134129,DVL2,1e-14
alka_phos,17,7217099,7217944,GPS2,1e-14
alka_phos,17,7221197,7225425,NEURL4,1e-14
alka_phos,17,7246851,7254315,ACAP1,1.88615345564358e-10
alka_phos,17,7789775,7814099,CHD3,2.2349899708729026e-12
alka_phos,17,37438037,37554241,FBXL20,5.863642904557763e-10
alka_phos,17,37939398,38013360,IKZF3,2.2964186108254122e-11
alka_phos,17,38100134,38100673,LRRC3C,1.1169123625975884e-08
alka_phos,17,38121993,38131187,GSDMA,2.0518320376083918e-10
alka_phos,17,43474668,43482264,ARHGAP27,1.0539569217371536e-11
alka_phos,17,43516738,43555253,PLEKHM1,3.080002919375602e-11
alka_phos,17,44044058,44089281,MAPT,4.6056991553911075e-10
alka_phos,17,44116843,44248848,KIAA1267,4.692579658183149e-12
alka_phos,17,66419633,66451646,WIPI1,1e-14
alka_phos,17,66533655,66595838,FAM20A,1.2719053144039094e-08
alka_phos,18,59854886,59972043,KIAA1468,8.02861472859462e-08
alka_phos,18,60004772,60046204,TNFRSF11A,2.1911117364936672e-10
alka_phos,18,77161063,77287075,NFATC1,5.7354513804952496e-08
alka_phos,19,3728609,3750615,TJP3,2.6247337636675638e-11
alka_phos,19,3752874,3758598,APBA3,2.5701663020072374e-13
alka_phos,19,10363251,10369086,MRPL4,1.0083232027113809e-08
alka_phos,19,19155672,19168228,ARMC6,7.173150962103136e-13
alka_phos,19,19293252,19301186,MEF2BNB,4.199085523737267e-12
alka_phos,19,19329924,19353979,NCAN,1e-14
alka_phos,19,19432416,19455864,MAU2,1e-14
alka_phos,19,19789528,19790178,ZNF101,1e-14
alka_phos,19,33881128,34001331,PEPD,1.440181307543753e-12
alka_phos,19,41179785,41192417,NUMBL,7.692069203812935e-12
alka_phos,19,41198482,41220029,ADCK4,4.212299464789737e-08
alka_phos,19,41249446,41255603,C19orf54,2.4868995751603507e-14
alka_phos,19,41257396,41270055,SNRPA,1.6275411240940233e-08
alka_phos,19,41306650,41311922,EGLN2,2.485043726352387e-09
alka_phos,19,41349759,41354458,CYP2A6,1.7468813506837932e-08
alka_phos,19,41497274,41521638,CYP2B6,2.1649348980190558e-13
alka_phos,19,45351516,45390333,PVRL2,1.8373071952737519e-09
alka_phos,19,45394969,45405062,TOMM40,1e-14
alka_phos,19,45410002,45412079,APOE,1e-14
alka_phos,19,45461980,45489674,CLPTM1,1.0722644994132224e-11
alka_phos,19,48377519,48384749,SULT2A1,3.4657832159723508e-12
alka_phos,19,48800330,48821757,CCDC114,2.9351902242069627e-08
alka_phos,19,48869178,48877636,SYNGR4,4.674705067486684e-12
alka_phos,19,48906711,48944238,GRIN2D,3.5777361073741076e-09
alka_phos,19,49061608,49098779,SULT2B1,1e-14
alka_phos,19,49106461,49115440,FAM83E,1e-14
alka_phos,19,49307999,49313239,BCAT2,1.1408418654212936e-10
alka_phos,19,49318224,49337577,HSD17B14,2.586819647376615e-13
alka_phos,19,49342210,49370162,PLEKHA4,6.247447004170681e-10
alka_phos,19,49388244,49400000,TULP2,1e-14
alka_phos,19,54649172,54657069,CNOT3,1e-14
alka_phos,19,54664209,54675643,TMC4,1e-14
alka_phos,19,54682975,54688378,MBOAT7,1e-14
alka_phos,19,57084609,57089375,ZNF470,7.304389093576448e-08
alka_phos,2,27505758,27526463,TRIM54,4.312195045486078e-11
alka_phos,2,27587724,27590666,EIF2B4,1e-14
alka_phos,2,27611454,27623999,PPM1G,7.15107207893695e-08
alka_phos,2,27669137,27686911,IFT172,1e-14
alka_phos,2,27799773,27801759,C2orf16,1e-14
alka_phos,2,27815510,27834152,ZNF512,1e-14
alka_phos,2,27887160,27907444,SLC4A1AP,4.672711106934456e-10
alka_phos,2,28011829,28106866,RBKS,5.272449143944868e-13
alka_phos,2,28122890,28546682,BRE,1e-14
alka_phos,2,47137597,47286733,MCFD2,3.4902211121234934e-08
alka_phos,2,109066266,109099572,GCC2,4.734121983318572e-10
alka_phos,2,135013571,135205052,MGAT5,4.1481595935977105e-11
alka_phos,2,169788429,169869901,ABCB11,1e-14
alka_phos,2,203245215,203420712,BMPR2,5.863801122441004e-08
alka_phos,2,203656203,203693277,ICA1L,4.5124792791284556e-11
alka_phos,2,203745885,203773503,WDR12,1e-14
alka_phos,2,203820923,203846817,ALS2CR8,3.1837865677175614e-11
alka_phos,2,219136461,219209248,PNKD,6.378997330358516e-11
alka_phos,2,234171812,234199537,ATG16L1,7.663969459059671e-10
alka_phos,20,24992044,25038484,ACSS1,1.2312373343092986e-13
alka_phos,20,25057375,25062715,VSX1,1e-14
alka_phos,20,25177987,25205031,ENTPD6,1e-14
alka_phos,20,25234841,25363577,PYGB,1e-14
alka_phos,20,25389756,25416773,GINS1,1e-14
alka_phos,20,25434139,25497127,NINL,1e-14
alka_phos,20,33833729,33859141,MMP24,3.8707544947058645e-09
alka_phos,20,44637624,44643111,MMP9,7.800546875103008e-10
alka_phos,20,56075890,56097160,CTCFL,3.3486067918531155e-08
alka_phos,20,56137895,56139365,PCK1,2.945421684330541e-13
alka_phos,22,29088123,29130012,CHEK2,3.982369989330437e-13
